Date,Tournament,Player/Match,Odds,Stake,Result,Profit/Loss,Notes
01/07/25,Wimbledon,T Townsend + 2.5,1.90,1.00,Loss,-1.00,
01/07/25,Wimbledon,K Muchova ML,2.20,1.00,Loss,-1.00,
01/07/25,Wimbledon,C Eubanks ML,2.10,1.00,Loss,-1.00,
01/07/25,Wimbledon,F Jones - Under 2.5 Sets ,1.63,1.00,Loss,-1.00,
02/07/25,Wimbledon,N Jarry ML,1.72,2.00,Win,1.44,
02/07/25,Wimbledon,Mannarino -1.5 Sets,2.09,1.00,Win,1.09,
02/07/25,Wimbledon,Majchrzak v Quinn - U 3.5 sets,1.50,1.00,Loss,-1.00,
02/07/25,Wimbledon,Mannarino - Under 39.5 G,1.89,1.00,Loss,-1.00,
03/07/25,Wimbledon,Navarro ML ,1.63,1.00,Win,0.63,
03/07/25,Wimbledon,Dimitrov - Win Set 1,1.64,2.00,Win,1.28,
03/07/25,Wimbledon,Tauson v Kalinskaya - U 2.5 Sets,1.68,2.00,Win,1.36,
04/07/25,Wimbledon,C Norrie ML,1.62,1.00,Win,0.62,
04/07/25,Wimbledon,Svitolina 2-0 ,2.75,1.00,Loss,-1.00,
05/07/25,Wimbledon,M Andreeva 2-0 vs Hailey Baptiste,1.94,1.00,Win,0.94,
05/07/25,Wimbledon,L Samsonova 2-0 v D Kasatkina,2.13,1.00,Win,1.13,
05/07/25,Wimbledon,Maneiro v Yastremska - 2 sets ,1.61,2.00,Loss,-2.00,
05/07/25,Wimbledon,Marin Cilic ML v Jaume Munar,1.65,1.00,Win,0.65,
05/07/25,Wimbledon,Ben Shelton -1.5 sets vs Fucsovics,1.69,3.00,Win,2.07,
06/07/25,Wimbledon,Fritz v Thompson - Over 3.5 Sets,1.75,0.00,Void,0.00,BET VOID: THOMPSON RETIREMENT
07/07/25,Wimbledon,M Cilic v F Cobolli - O 39.5 G,1.88,1.00,Win,0.88,
07/07/25,Wimbledon,M Andreeva ML v E Navarro ,1.60,1.00,Win,0.60,
08/07/25,Wimbledon,T Fritz v K Khachanov - 40.5 G,1.90,1.00,Loss,-1.00,
08/07/25,Wimbledon,A Anisimova - 1st Set Winner,1.54,1.00,Win,0.54,
08/07/25,Newport Challenger,B Tomic ML,1.83,1.00,Win,0.83,
09/07/25,Wimbledon,Swiatek 2-0 vs Samsonova,2.10,1.00,Win,1.10,
09/07/25,Wimbledon,Bencic ML,2.88,1.00,Win,1.88,
09/07/25,Newport Challenger,Schoolkate ML,1.56,1.00,Win,0.56,
10/07/25,Wimbledon,Sabalenka v Anisimova - U 2.5 Sets,1.62,1.00,Loss,-1.00,
10/07/25,Nordea Open,D Galfi 2-0 v K Kawa,2.00,0.00,Void,0.00,BET VOID: GALFI RETIREMENT
11/07/25,Wimbledon,J Sinner v N Djokovic - U 40.5 G,1.87,1.00,Win,0.87,
11/07/25,Wimbledon,C Alcaraz -5.5 vs Fritz,1.98,1.00,Loss,-1.00,
12/07/25,Grand Est Open 88 ,F Jones v P Marcinko - U 21.5 G,1.80,2.00,Loss,-2.00,
12/07/25,Wimbledon,I Swiatek - 3.5 ,1.83,2.00,Win,1.66,
12/07/25,Wimbledon,J Sinner v C Alcaraz - U 42.5 G,1.82,1.00,Win,0.82,
12/07/25,Swiss Open Gstaad,C Hemery 2-0 v F Bagnis ,2.19,1.00,Loss,-1.00,
12/07/25,Los Cabos ATP,S Kirchheimer + 1.5 Set,1.69,2.00,Loss,-2.00,
13/07/25,Swiss Open Gstaad,Siskova v Bolsova - U 21.5 G,1.79,2.00,Loss,-2.00,
14/07/25,Iasi Open,Burruchaga vs Svrcina - U 2.5 Sets,1.72,2.00,Win,1.44,
14/07/25,Iasi Open,A Bogdan v V Gracheva - O 2.5 Sets,2.66,2.00,Loss,-2.00,
15/07/25,Nordea Open,E Ymer ML,1.76,1.00,Win,0.76,
15/07/25,Los Cabos ATP,A Vukic v E Nava - O 22.5,1.85,1.00,Loss,-1.00,
15/07/25,Hamburg Open,C Werner v V Steiner,1.41,2.00,Win,0.82,
16/07/25,Los Cabos ATP,J Duckworth - U 2.5 Sets,1.65,1.00,Win,0.65,
16/07/25,Swiss Open Gstaad, K Majchrzak ML v I Buse ,1.57,2.00,Loss,-2.00,
16/07/25,Hamburg Open ,L Boisson ML,1.40,2.00,Win,0.80,
16/07/25,Swiss Open Gstaad,Cerundolo ML,1.68,3.00,Win,2.04,
17/07/25,Los Cabos ATP,Bu Yunchaokete ML,1.79,3.00,Loss,-3.00,
17/07/25,Swiss Open Gstaad,Bublik ML,1.56,3.00,Win,1.68,
17/07/25,Iasi Open,J Cristian 2-0 v J Fett,1.88,0.00,Void,0.00,Fett Retirement
18/07/25,Los Cabos ATP,Shapalov ML,1.50,3.00,Win,1.50,
18/07/25,Los Cabos ATP,J Duckworth - U 2.5 Sets,1.61,3.00,Loss,-3.00,
18/07/25,WTA Hamburg,J. Kym - Over 22.5 Games,1.73,1.00,Win,0.73,
18/07/25,WTA Hamburg,Lois Boisson ML,1.61,2.50,Win,1.53,
18/07/25,WTA Hamburg,Lois Boisson 2-0 ,2.60,2.50,Win,4.00,
19/07/25,Los Cabos ATP,Shapovalov - 3.5 Games,1.80,2.00,Win,1.60,
19/07/25,Prauge Open,Kyoka Okamura ML,1.72,2.50,Loss,-2.50,
19/07/25,Citi Open,Rakhimova 2-0,1.68,2.50,Win,1.70,
19/07/25,Citi Open,Rakhimova Under 20.5 G,1.72,2.00,Win,1.44,
20/07/25,Los Cabos ATP,"D Shapovalov -3.5 Games 



✍️ | Kovacevic loses by 4 games or more in 71% of hard court defeats since 2023, -3.5 game margin likely with Shapovalov's serve.",1.87,2.50,Win,2.18,
21/07/25,WTA Washington,Potapova ML,2.34,3.00,Loss,-3.00,
22/07/25,Prauge Open,A Kovackova ML ,1.91,2.00,Loss,-2.00,
22/07/25,Prauge Open,A Kovackova - 1st Set Winner,2.00,2.00,Loss,-2.00,
22/07/25,Austrian Open,F Misolic ML,1.83,2.00,Win,1.66,
22/07/25,ATP Washington,M Giron ML ,1.89,2.00,Win,1.78,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
,,,,,,0.00,
